축제명,연령대,남성비율,여성비율
포항국제불빛축제,10~19세,5.0,5.6
포항국제불빛축제,0~9세,0.6,0.7
하동야생차문화축제,70세 이상,4.4,4.3
하동야생차문화축제,60~69세,11.2,10.2
하동야생차문화축제,50~59세,12.0,14.2
하동야생차문화축제,40~49세,8.7,8.3
하동야생차문화축제,30~39세,5.8,6.0
하동야생차문화축제,20~29세,4.1,5.4
하동야생차문화축제,10~19세,2.2,2.2
하동야생차문화축제,0~9세,0.4,0.7
한산모시문화제,70세 이상,4.8,4.0
한산모시문화제,60~69세,10.7,9.3
한산모시문화제,50~59세,12.5,12.7
한산모시문화제,40~49세,8.6,8.2
한산모시문화제,30~39세,5.6,5.6
한산모시문화제,20~29세,4.5,3.9
한산모시문화제,10~19세,3.6,5.0
한산모시문화제,0~9세,0.4,0.6
한성백제문화제,70세 이상,2.7,2.8
한성백제문화제,60~69세,6.1,7.5
한성백제문화제,50~59세,7.8,9.3
한성백제문화제,40~49세,8.4,8.7
한성백제문화제,30~39세,9.3,10.5
한성백제문화제,20~29세,8.3,11.8
한성백제문화제,10~19세,3.1,3.0
한성백제문화제,0~9세,0.3,0.3
함평나비축제,70세 이상,3.6,3.5
함평나비축제,60~69세,9.0,7.6
함평나비축제,50~59세,11.9,11.7
함평나비축제,40~49세,10.1,8.7
함평나비축제,30~39세,7.8,8.2
함평나비축제,20~29세,4.8,4.9
함평나비축제,10~19세,3.1,3.4
함평나비축제,0~9세,0.8,0.9
화성뱃놀이축제,70세 이상,2.5,1.9
화성뱃놀이축제,60~69세,8.9,5.7
화성뱃놀이축제,50~59세,13.7,9.4
화성뱃놀이축제,40~49세,13.0,7.5
화성뱃놀이축제,30~39세,11.4,7.9
화성뱃놀이축제,20~29세,7.7,5.1
화성뱃놀이축제,10~19세,2.1,1.9
화성뱃놀이축제,0~9세,0.5,0.7
화천산천어축제,70세 이상,2.0,2.4
화천산천어축제,60~69세,6.1,4.3
화천산천어축제,50~59세,10.1,7.9
화천산천어축제,40~49세,10.5,9.0
화천산천어축제,30~39세,8.2,7.3
화천산천어축제,20~29세,13.7,6.6
화천산천어축제,10~19세,5.8,4.4
화천산천어축제,0~9세,0.8,0.9
횡성한우축제,70세 이상,3.7,3.2
횡성한우축제,60~69세,10.2,8.0
횡성한우축제,50~59세,12.3,11.7
횡성한우축제,40~49세,9.6,7.7
횡성한우축제,30~39세,7.0,6.6
횡성한우축제,20~29세,6.1,6.1
횡성한우축제,10~19세,3.3,3.2
횡성한우축제,0~9세,0.6,0.6
